id,name,cusps,betti,torsion,volume,chernsimons,tets,hash,triangulation
36064,o9_18402,1,1,[5],6.32417056534,-0.208820508496,9,95857ea47a2e86796e1f3525d4574ff4,jLALPMPcbbegffhiihhrkxxjqhr_bBab
36065,o9_18403,1,1,[],6.32417993439,-0.0347081946795,9,88a4e965a3020514a05d304bc4959580,jLLLPMQcdgehfihhihshqjjhwrn_bBab
36066,o9_18404,1,1,[15],6.32417993439,0.21529180532,9,4e49efa2bfd6ce254cc4168f8b749d59,jLLLPMQcdgehfihhihshqjjhbgn_baab
36067,o9_18405,1,1,[],6.32418056003,0.101895843476,9,02262a09126293229b181406b127aa98,jLALPzQbcbefghihixxnnaqqqsn_baab
36068,o9_18406,1,1,[],6.32423698357,0.232194973369,9,4235affe50bd5686831f27d2526acbcf,jLALPMPbcbfgfghiihxjelxadqw_bBab
36069,o9_18407,1,1,[3],6.32438900162,-0.00634383883649,9,f6b0bd474deb446c3251453c9ffb8308,jLALPzQcbbegfhihihhkwhhhhrr_bBba
36070,o9_18408,1,1,[5],6.32440951883,-0.171843038445,9,ec916bdfda619c35018c384911e5b675,jLLALPQbdedghgiiihrakwukmjk_bBba
36071,o9_18409,1,1,[],6.32462827908,-0.10993587801,9,be37e6395b2c935f83575170a797aac9,jLALPzQbcbegfhihihhjshaqxjn_abBa
36072,o9_18410,1,1,[],6.32485953684,0.136368434019,9,f04ca3742d53644db0c054db55b8754b,jLALPzQbcbegfhihixhncqqqxsr_baBb
36073,o9_18411,1,1,[],6.32493050618,-0.175315916935,9,bbf7a6c088a1038ee958b49853c95d81,jLALvQQbcbeifhiihhhjswjnnsr_bBba
36074,o9_18412,1,1,[19],6.32508143831,0.239142648785,9,6771a3779f4b051b031be015790bf89c,jLALPzQbcbefghihixxnsaqxqkn_bBab
36075,o9_18413,1,1,[],6.32542369195,0.115612848566,9,4062917ab4fcf405d243c30b87b3f760,jLALLQPcbbfghhhiihqjhahwrhw_abBb
36076,o9_18414,1,1,[9],6.32549999316,-0.0309845237718,9,6e803d78249e03b5fbfe34b2b14601df,jLALLAQbcbeghghiihhjcxkvvxn_bBba
36077,o9_18415,1,1,[],6.32556749213,-0.00957709045484,9,dc2afd40fe462d11b086a596f4d5d162,jLAwLQPbcbdghghiihhjhmliiln_bBba
36078,o9_18416,1,1,[],6.32580841184,-0.172877903289,9,63c5a780d4193f3ccab43b72106fe785,jLLALAQacdeghhhiinkdxpvcnaj_bBba
36079,o9_18417,1,1,[3],6.32594441485,0.11414835177,9,6b80f9d0fafeeceaabffe80dd8265a89,jLALPzQbcbefghihihxwgqaqxnk_abBa
36080,o9_18418,1,1,[3],6.32598426246,0.0547976353712,9,47c4849cee0dde18d928aa6440dd205a,jLALPzQbcbegfhiiihhwraaqqjs_abBb
36081,o9_18419,1,1,[],6.32645316894,0.220273905153,9,32671e230fb51326e5103e09a09be1c0,jLALPzQbcbegfhihixhncqhhxjk_bBba
36082,o9_18420,1,1,[],6.32645833159,-0.0734341738636,9,99419ed5728278d7841af002e5b066be,jLALPMPbcbegffhiixhncqhrqhr_bBba
36083,o9_18421,1,1,[],6.32655607914,-0.126040952606,9,2c1d24b4fea0ddaf33cf179e9be81da2,jLALPzQbcbegfhihihhwraaqhjn_baab
36084,o9_18422,1,1,[],6.3265591257,-0.209738127218,9,eea7d2c76464969cc4e982af1fcaadb7,jLALPzQcbbegfhihihqnkxxxxkr_bBab
36085,o9_18423,1,1,[5],6.32684127676,-0.153065771357,9,03931d132dba32694315512a5b2fb77a,jLALLAQbcbefghhiihhjsqooghn_abBb
36086,o9_18424,1,1,[],6.32689332033,0.126159622202,9,60c6efed90741837ae8c15de2b933c7b,jLALPzQbcbegfhihixhnshahhrj_abBb
36087,o9_18425,1,1,[],6.32692110244,-0.167045944595,9,667d6db07623d25f3390d55e5fbf9ce6,jLALLAQbcbeghhihixhjsqoshjw_bBba
36088,o9_18426,1,1,[],6.32696392298,-0.0455228623767,9,95240054d834e04b67947d852f9f4523,jLALvQQbcbefihiihhhjswbvgsj_bBab
36089,o9_18427,1,1,[],6.32704799822,0.00294799160983,9,f601b8dca333bd66de9328d1f61cfeb1,jLALPzQbcbegfhihixhnsqhxxjk_abBa
36090,o9_18428,1,1,[2],6.32714453079,0.0814288699305,9,66d942089ae753fd6c75bd620ffd1f97,jLALPzQcbbegfhihihhkwhxqqsj_bBba
36091,o9_18429,1,1,[],6.32725003526,0.239923585433,9,4b15b1f7c364b4691270c08b949c6806,jLALPzQbcbefghihihxjsxaxqnj_bBab
36092,o9_18430,1,1,[],6.3273418866,0.169893574325,9,73127c07aa8bd025d78b708c16f4531c,jLALPzQcbbegfhihihqnkxahqjj_abBb
36093,o9_18431,1,1,[],6.32734507726,0.0502680957757,9,38a3e6635d7c7176f07d0fee06caa6d8,jLALPzQbcbefghihihxjnqxqxjj_bBab
36094,o9_18432,1,1,[],6.3274530791,-0.144264237212,9,f67a2abacd1e912c07219d40c60a8342,jLALPzQbcbefghihihxjgqahxnr_abBb
36095,o9_18433,1,1,[],6.32754911166,0.101239303226,9,261ad5271c5a2458854599b48690fbfb,jLALPzQcbbegfhihihqjkxahxjk_abBb
36096,o9_18434,1,1,[9],6.32771196826,0.199760203904,9,25341a335ffdcb6f52d889df9c1722ba,jLALPzQbcbefghihixxjgxxhhww_abBb
36097,o9_18435,1,1,[13],6.3277440737,-0.0460993146044,9,53073b155b4ede07a2c667a23b2257be,jLALPzQbcbefghihixxjnqxhhrj_abBb
36098,o9_18436,1,1,[18],6.32792645777,-0.188045966513,9,8e1c25613824d8d1f0a4b90e1558d842,jLALLAQbcbeghghiihhjcxkvvxr_baBb
36099,o9_18437,1,1,[],6.32806755758,0.163870741924,9,4bdb432f33b39bf21174edae30f4763b,jLALPzQbcbefghihihxjgqxhhrj_bBab
36100,o9_18438,1,1,[5],6.32824106783,0.0609816854998,9,a41629eb046bcda48814315af8d6acb4,jLLALAQbcedfghhiitsajcwuukr_baab
36101,o9_18439,1,1,[29],6.32824106783,-0.1890183145,9,59d1ff26d3e60cd43f1b2264eaac3994,jLLALAQbcedgghhiitsajvwmmnr_abBb
36102,o9_18440,1,1,[],6.32836742666,0.183859936784,9,8082d5001264d79a195128d19341b7ec,jLALPMPcbbegffhiihqjkxarxhw_abBb
36103,o9_18441,1,1,[41],6.32863105137,-0.100815216967,9,bef602ad2e1afa08a1db697972d2d5e6,jLALLMQbcbeghhiiihxjnagsdlq_abBb
36104,o9_18442,1,1,"[3, 3]",6.32863105137,0.149184783033,9,91d3af580d49a9719b569ee44c102686,jLALLMQbcbegghiiihxjnavodtx_abBB
36105,o9_18443,1,1,[],6.32865882392,0.173351098618,9,0406a0d042706da6934ea2906f08fe7a,jLALPzQbcbefghihihxjnaqxhrr_bBab
36106,o9_18444,1,1,[],6.32873661765,0.0426302868541,9,b1aff51aa1ab35d54c7a325278334ae2,jLALPzQcbbegfhihihhkkhahqwn_abBa
36107,o9_18445,1,1,[],6.32910625874,-0.229693925333,9,a6296e2c03dcc89852ccb33d389da755,jLLAPzQaddefghihijpupfaqqnn_abBb
36108,o9_18446,1,1,[],6.32920376192,-0.00958935546565,9,fcdc16a47de64641f32b20b188083b80,jLALLQPbcbefghhiihhjraccchk_baBb
36109,o9_18447,1,1,[],6.32926422176,-0.214563034685,9,95317bc09ded354096804dfcb554dd05,jLALPzQbcbefghihixxngxxhxsj_abBb
36110,o9_18448,1,1,[2],6.32942730183,0.0188104019679,9,ef19a6bb9c3debf1c241be2c582cfa2f,jLAwLPQcbbdfghiiihqjhjhsocv_baab
36111,o9_18449,1,1,[],6.32949925786,0.10184220539,9,8e186430ff19eb0751fde6f0c87842cb,jLALPzQcbbegfhihihqjkxahxwr_abBb
36112,o9_18450,1,1,"[2, 2]",6.32950986053,-0.243458310247,9,7219ee21b0fe12d5caeaefb90cc69821,jLALvQQbcbeiighhixxnnkckvnk_abBa
36113,o9_18451,1,1,[2],6.33001891733,0.0538735540367,9,8fc1d280442636fdfd1591f46ee4662d,jLAwwMQbcbdfgihiihhjqjxfsgb_bBab
36114,o9_18452,1,1,[],6.33069989158,0.112996313101,9,501d842beba10b73346305ad738d4cba,jLALPzQcbbegfhihihhkwahhhrw_bBba
36115,o9_18453,1,1,[],6.3307622611,0.171022007948,9,0b8c3c458bfdee8a2c734c1daeb7e289,jLALPzQcbbegfhihihqnkxaxxnr_abBb
36116,o9_18454,1,1,[],6.33076567836,-0.119272653884,9,04a14d89cf8ef98c8f3e2a9cb179f0e0,jLAvPAQbcbgfhfihixxjqxakqjn_bBba
36117,o9_18455,1,1,[],6.33077396778,0.104764537726,9,8588e177bb2d535d803973dab3463960,jLALPzQbcbefghihihxwnaqxqrj_baab
36118,o9_18456,1,1,[11],6.33088862124,-0.222503783912,9,7cc02a58fb3d6ae4f0949fe7abf8191c,jLALPzQbcbefghihihxwnqxhxrj_bBab
36119,o9_18457,1,1,[],6.33089935166,0.0718280429792,9,034b4a3d215857cc97b4ebd0b4797ca5,jLALPPPbcbefghgiihxwnqxqnxk_abBb
36120,o9_18458,1,1,[2],6.3309268046,0.114049583067,9,1cb389f4238fa610c487c0db8e64f6d1,jLALvQQbcbegiihihxhjsjbrksn_bBab
36121,o9_18459,1,1,[],6.3309277841,0.0246082286868,9,f9892773f1605959437d981b0e982119,jLAvPAQbcbhgffihihhjahhrxwj_abBa
36122,o9_18460,1,1,[],6.33102570046,-0.235219297147,9,162ba154a17e0247260c2e53f2f67504,jLALPzQcbbegfhihihqjkhaxhnn_bBab
36123,o9_18461,1,1,[],6.33142509236,0.0679117230612,9,9171b9697072130669cfa5d093953932,jLALPMPcbbegffhiihqjkxxjxhw_bBab
36124,o9_18462,1,1,[2],6.33142573494,-0.148611454951,9,345eff4c90c67fdc33e283a3d77b3b93,jLALLMQcbbeggihiiqhrnqcqnhx_abBb
36125,o9_18463,1,1,[2],6.33154925744,-0.144123298865,9,51568bf5a393cb2911ecba33ee9ab942,jLAwvQQbcbdhigghihhjhhxxnwk_abBa
36126,o9_18464,1,1,[2],6.33154925744,0.230876701135,9,1554a8a00aafbe834a31fc557bc0ba1c,jLAvPAQbcbgfhfihixxnqxarhjr_baBb
36127,o9_18465,1,1,[],6.33155073986,-0.0805312730754,9,4becaf253325955920b4a1d8d0c2bdb2,jLALPzQbcbegfhihixhjcaqxqrn_baab
36128,o9_18466,1,1,[],6.33157185527,0.193748184873,9,c0155f3442aa63391741a8c6c8319de9,jLALLMQbcbffghihixhnteekdjw_bBab
36129,o9_18467,1,1,[2],6.33174959286,-0.236873773198,9,9e4e192f8e25931f2422b67d6f53ab69,jLALPLQbcbegfhhiixhnsalimnr_bBba
36130,o9_18468,1,1,[],6.33176054766,0.082806634831,9,c3ac1f9ee3c283f133b9e4536584b268,jLALPzQbcbefghihixxjgqxhhrw_abBa
36131,o9_18469,1,1,[],6.33181419694,-0.190499826325,9,e7155309e522a69af2d5da7cb71ee930,jLALPMPbcbegffhiixhncqqjqhr_abBa
36132,o9_18470,1,1,[],6.33183874149,-0.236885389146,9,9d1872acbd052b17738d4939d05dcc32,jLALPzQbcbefghihihxwnaxqxsj_abBa
36133,o9_18471,1,1,[3],6.33186879582,0.0896296500493,9,e04803553316be1d61c828b254af3885,jLLAPMPbcedgfghiitsajkcsqxr_bBba
36134,o9_18472,1,1,[],6.33198111339,0.164212508651,9,1053345d9080659791548c374f215064,jLALvQQbcbefihiihhhwsngvnsj_bBab
36135,o9_18473,1,1,[],6.33201281128,-0.15220513517,9,1dee04d44e782f8a38609916f2585f63,jLALPMPbcbfgfghiihhjtaeemxk_bBba
36136,o9_18474,1,1,[],6.33228510866,-0.159136756723,9,7edbe4b91b11d2ca2ff9e68605a46c24,jLAwvQQbcbdhigghihhjhhxaksk_bBba
36137,o9_18475,1,1,[2],6.33229341227,-0.122068483352,9,19a989b90f3bdc0d968138742b0c219d,jLAwwMQbcbdfgihiihhwhrawrfo_baBb
36138,o9_18476,1,1,[10],6.33246792239,-0.0356120199411,9,ea386f3ce8117abb87fcd690cbedb492,jLALLAQbcbefghhiihhjsqoogxw_bBba
36139,o9_18477,1,1,[],6.33258424947,0.240198266428,9,352b4f279b066f396a3865408f7b72ff,jLAvPAQcbbghffihihhkaxhsxjj_baab
36140,o9_18478,1,1,[],6.33290938576,-0.192995271004,9,9a759ed60d6364d0909b997fafb93486,jLALvQQbcbegihhiixxjnjjrrgn_abBa
36141,o9_18479,1,1,[],6.33309682359,0.119603835728,9,67093012e755e2b9ff8500ccfbb4ff2f,jLALPzQbcbefghihihxwnaxxhrw_baab
36142,o9_18480,1,1,[],6.33325577581,-0.076295348535,9,6a5c5f684631bb0542df214cf5cbcfee,jLAwLMQcbbdgghiiihhkhmppfcv_baab
36143,o9_18481,2,2,[],6.33327403315,0.110451195693,9,74d548ee79195aeb3b44d7c0a2499176,jLAwLMQbcbdfhiiihhhjhwhrons_abBabBba
36144,o9_18482,1,1,[],6.33344719685,0.0446904028287,9,f4ed32415f7e1b5eb6f3ac7b6b7adee8,jLALPzQbcbegfhihihhjcqhhqww_bBba
36145,o9_18483,1,1,[2],6.33356284701,-0.097724692976,9,c257f0beff00084b21275e202af934fe,jLALPzQbcbegfhihihhjshhhxwn_abBb
36146,o9_18484,1,1,[17],6.33361995098,0.0027276624545,9,31d5c5b8e76cc35946d7c206a912960e,jLALPzQcbbegfhihihhrwhxqhwn_bBba
36147,o9_18485,1,1,[10],6.33370984846,0.217808856505,9,1e5800ac7686468eba05332cf7b5836f,jLALPzQcbbegfhihihhrkhahqjj_abBb
36148,o9_18486,1,1,"[2, 2]",6.33423023044,0.173428679155,9,065d6249b3362b61151a54679cfe4fe7,jLAwvQQbcbdgghiiixhjqixinos_bBba
36149,o9_18487,1,1,[3],6.33446549336,0.12976699284,9,1d67f17cf7fe4763864fee8095164ab8,jLALPzQbcbefghihixxngxahqsj_abBb
36150,o9_18488,1,1,[],6.33451761836,0.17629317316,9,1955a2b6a700b03550b24b7baf3f09b4,jLALPzQbcbefghihixxjnaxqxwn_bBab
36151,o9_18489,1,1,[5],6.3348739458,0.171642867533,9,f926f6956fb3ee1690b92909139871ce,jLAwLMQbcbdfhiihixxnxnxrwjo_abBa
36152,o9_18490,1,1,[2],6.33490349913,0.184234061593,9,692fb85ace328ebd9c7d976e2caea5fa,jLALvQQbcbefihhiixhjswbkcsj_baab
36153,o9_18491,1,1,[],6.3349389951,0.176298145707,9,4c6415f729253bbdb5ec364c9ceeafa2,jLALLAQbcbegghhiihxjnqcbnqj_baab
36154,o9_18492,1,1,[],6.33525614478,0.118640873113,9,375a1fa682dfe94a2525941a7b878faa,jLAwwPQbcbdfhhiiihhwhohrknw_baab
36155,o9_18493,1,1,[],6.33552653579,-0.116190124113,9,8e2ffaac703902c6bef7bde75547d4db,jLALPzQbcbegfhihixhncqqqqwj_abBa
36156,o9_18494,1,1,[],6.33555558502,-0.14055438436,9,01ee438c3259df6e409c404388303929,jLLAMPPcdeefgghiihsmpekgphk_bBab
36157,o9_18495,1,1,"[2, 2]",6.33577847402,-0.174176939059,9,172a69ecbe50224fcf7a602c44a53750,jLALLMQbcbeggihiixxnnqcqnhx_abBb
36158,o9_18496,1,1,[35],6.33579023493,0.135410457951,9,c1c6798f48aea7295152528fc05b97a5,jLLAMzQbcedfghiiitsajqqxhld_baab
36159,o9_18497,1,1,[27],6.33579023493,-0.114589542049,9,effd027d1398c340132bff02cc960654,jLLAMzQbcedfghiiitsajqqxhum_bBba
36160,o9_18498,1,1,[3],6.33608555791,0.0819005985791,9,5d77880d65dc95095b815743fb1af01d,jLALPzQcbbegfhihihhkwhxxhkr_bBba
36161,o9_18499,1,1,[4],6.33612667567,0.113704618536,9,466fa025484287290e40d5d05b17ca73,jLALPzQcbbegfhihihhkwahqxjn_baBb
36162,o9_18500,1,1,[],6.33634777535,0.0614192606228,9,3426876d5af79834f03f6f00a210edd0,jLALPLQbcbefghhiixxjnuaimrj_bBcB
36163,o9_18501,1,1,[5],6.33649467631,0.0571079680882,9,94d690ae4d832e837287d7bd3bee1c54,jLALLAQbcbeghghiixxjnajcvqk_abBb
36164,o9_18502,1,1,[],6.33651032281,-0.236926872255,9,b4604154f424aa3068d59f6875a3f776,jLALPzQcbbegfhihihhkkxahqww_abBb
36165,o9_18503,1,1,[],6.33671421658,-0.151933133952,9,597e6aae132228d82c3eae2747fb0336,jLAvPAQbcbgfhhhiixxnqxaocqn_abBb
36166,o9_18504,1,1,[9],6.3367983501,0.248188970944,9,2632cfcfd100ee60aba72a3e45103eeb,jLALLAQbcbeghghiihhwsxkvvaj_bBab
36167,o9_18505,1,1,[22],6.3371829676,-0.107655576403,9,005b01e878c55cd60b6bb7c8b509fa4f,jLLAMzQbcedfghiiitsasqqqhei_babb
36168,o9_18506,1,1,[30],6.3371829676,0.142344423597,9,8711a6b3d8197ab79d1cc35fd66592ae,jLLAMzQbcedfghiiitsasqqqhpt_bBba
36169,o9_18507,1,1,[],6.33739328367,0.220463558467,9,29ba0428ec99108a7ee803f5b96c5ccc,jLALPzQbcbegfhihixhncqhhxwr_bBba
36170,o9_18508,1,1,[],6.33739772181,-0.233918124072,9,8d3026b9824edcfac39dfb2c8bbf40b8,jLALPzQcbbegfhihihqjkxxqqwj_bBab
36171,o9_18509,1,1,[],6.33750761649,-0.138228313435,9,bed8f63872bd72f42460e66d5060235d,jLALPzQbcbefghihihxjnaxqhwj_bBab
36172,o9_18510,1,1,[2],6.33763967014,0.0674248925107,9,74aa3b185672cd3814755b0b9589cc98,jLALPzQbcbegfhihixhjcqqxxkr_baBb
36173,o9_18511,1,1,[],6.33780208595,0.10924266795,9,c96fac971b468a04d10268ef482129d3,jLALPzQbcbefghihixxjnqqhqrj_bBba
36174,o9_18512,1,1,[],6.33795220283,-0.0448579345469,9,ec4b7ef10a810d1cabc64ec40fb1752d,jLALPzQbcbefghihixxjnqxqxnn_bBab
